flight_id,from_city,to_city,datetime,cost,cancel_available,time_cancel_available
FL9645,Da Nang,Buon Ma Thuot,5/19/2025 20:45,550000,TRUE,5/19/2025 18:45
FL1177,Da Nang,Hue,5/20/2025 11:45,520000,FALSE,
FL3810,Hai Phong,Nha Trang,5/20/2025 18:30,690000,TRUE,5/20/2025 12:30
FL4694,Hanoi,Hue,5/20/2025 20:30,1450000,FALSE,
FL1882,Nha Trang,Buon Ma Thuot,5/20/2025 14:15,1250000,FALSE,
FL1017,Da Nang,Thanh Hoa,5/20/2025 13:30,1660000,TRUE,5/20/2025 7:30
FL3835,Phu Quoc,Thanh Hoa,5/20/2025 15:15,1660000,TRUE,5/20/2025 13:15
FL2187,Can Tho,Hanoi,5/21/2025 18:30,690000,TRUE,5/21/2025 16:30
FL7028,Quy Nhon,Nha Trang,5/21/2025 14:00,1530000,FALSE,
FL1676,Can Tho,Hanoi,5/21/2025 20:15,1270000,TRUE,5/21/2025 16:15
FL3457,Hanoi,Buon Ma Thuot,5/21/2025 10:15,1620000,TRUE,5/21/2025 5:15
FL3788,Phu Quoc,Hue,5/21/2025 8:30,690000,TRUE,5/21/2025 3:30
FL6283,Hai Phong,Can Tho,5/21/2025 7:45,1210000,FALSE,
FL9680,Phu Quoc,Hai Phong,5/21/2025 8:45,1690000,TRUE,5/21/2025 2:45
FL6266,Can Tho,Hai Phong,5/22/2025 14:45,830000,TRUE,5/22/2025 10:45
FL5780,Quy Nhon,Da Nang,5/22/2025 7:00,1390000,FALSE,
FL1987,Ho Chi Minh City,Pleiku,5/22/2025 14:00,770000,FALSE,
FL5993,Hai Phong,Hanoi,5/22/2025 12:30,1140000,FALSE,
FL8602,Quy Nhon,Phu Quoc,5/22/2025 16:45,1460000,TRUE,5/22/2025 11:45
FL7704,Buon Ma Thuot,Nha Trang,5/22/2025 12:15,1340000,FALSE,
FL4849,Da Nang,Pleiku,5/22/2025 19:15,800000,TRUE,5/22/2025 16:15
FL9174,Vinh,Pleiku,5/22/2025 19:45,720000,FALSE,
FL4357,Ho Chi Minh City,Pleiku,5/22/2025 11:15,1540000,FALSE,
FL7674,Hai Phong,Buon Ma Thuot,5/23/2025 13:30,1590000,FALSE,
FL3885,Phu Quoc,Hue,5/23/2025 6:00,640000,FALSE,
FL3837,Ho Chi Minh City,Quy Nhon,5/23/2025 8:30,1980000,FALSE,
FL8275,Hue,Phu Quoc,5/23/2025 17:00,1060000,TRUE,5/23/2025 15:00
FL7807,Pleiku,Buon Ma Thuot,5/23/2025 15:00,1250000,TRUE,5/23/2025 9:00
FL9322,Thanh Hoa,Nha Trang,5/23/2025 12:00,1950000,FALSE,
FL4444,Buon Ma Thuot,Quy Nhon,5/23/2025 12:30,800000,FALSE,
FL7512,Nha Trang,Vinh,5/24/2025 8:30,520000,TRUE,5/24/2025 5:30
FL8421,Hai Phong,Phu Quoc,5/24/2025 16:45,1430000,TRUE,5/24/2025 13:45
FL3781,Hue,Can Tho,5/24/2025 14:30,1480000,FALSE,
FL3446,Ho Chi Minh City,Hanoi,5/24/2025 15:30,1210000,FALSE,
FL1490,Can Tho,Pleiku,5/24/2025 7:15,660000,TRUE,5/24/2025 2:15
FL1548,Ho Chi Minh City,Can Tho,5/24/2025 13:45,510000,TRUE,5/24/2025 8:45
FL6264,Buon Ma Thuot,Ho Chi Minh City,5/24/2025 14:45,750000,FALSE,
FL9241,Vinh,Can Tho,5/24/2025 7:00,1840000,TRUE,5/24/2025 2:00
FL1362,Phu Quoc,Hue,5/24/2025 16:00,1360000,FALSE,
FL9508,Phu Quoc,Da Nang,5/24/2025 13:45,1410000,FALSE,
FL1466,Hanoi,Thanh Hoa,5/24/2025 12:30,790000,TRUE,5/24/2025 7:30
FL5886,Can Tho,Nha Trang,5/25/2025 13:30,830000,TRUE,5/25/2025 8:30
FL7951,Vinh,Nha Trang,5/25/2025 20:30,1610000,FALSE,
FL8440,Quy Nhon,Can Tho,5/25/2025 8:45,580000,TRUE,5/25/2025 3:45
FL6124,Thanh Hoa,Quy Nhon,5/25/2025 17:00,1640000,TRUE,5/25/2025 11:00
FL3049,Ho Chi Minh City,Buon Ma Thuot,5/25/2025 11:30,1070000,FALSE,
FL4934,Vinh,Da Nang,5/25/2025 16:00,1340000,FALSE,
FL7868,Hai Phong,Quy Nhon,5/25/2025 17:15,740000,TRUE,5/25/2025 11:15
FL9800,Thanh Hoa,Buon Ma Thuot,5/25/2025 20:30,960000,FALSE,
FL1116,Da Nang,Thanh Hoa,5/25/2025 11:30,680000,FALSE,
FL4479,Thanh Hoa,Phu Quoc,5/25/2025 11:30,510000,TRUE,5/25/2025 6:30
FL9787,Nha Trang,Buon Ma Thuot,5/25/2025 15:15,1410000,FALSE,
FL6148,Nha Trang,Can Tho,5/26/2025 13:30,880000,TRUE,5/26/2025 8:30
FL3972,Hai Phong,Quy Nhon,5/26/2025 16:45,1940000,TRUE,5/26/2025 14:45
FL1009,Pleiku,Hanoi,5/26/2025 11:45,680000,TRUE,5/26/2025 6:45
FL9055,Can Tho,Phu Quoc,5/26/2025 9:45,1090000,TRUE,5/26/2025 7:45
FL9269,Quy Nhon,Can Tho,5/26/2025 18:45,1220000,TRUE,5/26/2025 14:45
FL5539,Hue,Vinh,5/26/2025 8:45,1920000,TRUE,5/26/2025 5:45
FL9834,Ho Chi Minh City,Hue,5/26/2025 16:15,720000,FALSE,
FL2834,Can Tho,Quy Nhon,5/26/2025 8:45,900000,TRUE,5/26/2025 6:45
FL3358,Hai Phong,Can Tho,5/26/2025 18:45,1250000,FALSE,
FL7380,Can Tho,Hue,5/26/2025 14:30,1890000,FALSE,
FL8077,Phu Quoc,Nha Trang,5/27/2025 8:30,1530000,FALSE,
FL2866,Phu Quoc,Buon Ma Thuot,5/27/2025 16:45,1690000,FALSE,
FL2732,Thanh Hoa,Hue,5/27/2025 7:00,2000000,TRUE,5/27/2025 4:00
FL7529,Thanh Hoa,Pleiku,5/27/2025 10:00,500000,TRUE,5/27/2025 4:00
FL2489,Hue,Vinh,5/27/2025 17:15,2000000,TRUE,5/27/2025 11:15
FL3892,Da Nang,Vinh,5/27/2025 17:30,1020000,FALSE,
FL2217,Vinh,Nha Trang,5/27/2025 6:30,740000,FALSE,
FL6549,Ho Chi Minh City,Nha Trang,5/28/2025 15:30,1070000,FALSE,
FL7522,Vinh,Phu Quoc,5/28/2025 10:00,1620000,FALSE,
FL6191,Hue,Thanh Hoa,5/28/2025 17:00,1300000,FALSE,
FL4220,Nha Trang,Phu Quoc,5/28/2025 14:45,660000,FALSE,
FL6945,Quy Nhon,Hue,5/28/2025 16:45,1680000,FALSE,
FL2933,Hanoi,Nha Trang,5/28/2025 6:15,1760000,TRUE,5/28/2025 0:15
FL4105,Phu Quoc,Nha Trang,5/28/2025 19:30,1420000,FALSE,
FL5485,Hanoi,Vinh,5/28/2025 8:45,1840000,FALSE,
FL4345,Phu Quoc,Ho Chi Minh City,5/28/2025 13:15,550000,TRUE,5/28/2025 11:15
FL6938,Da Nang,Phu Quoc,5/28/2025 19:30,940000,FALSE,
FL2754,Nha Trang,Da Nang,5/28/2025 19:30,810000,TRUE,5/28/2025 14:30
FL5999,Pleiku,Can Tho,5/28/2025 10:00,1840000,FALSE,
FL1868,Hanoi,Pleiku,5/29/2025 13:00,570000,TRUE,5/29/2025 8:00
FL2671,Hai Phong,Pleiku,5/29/2025 6:15,1820000,TRUE,5/29/2025 2:15
FL4743,Can Tho,Thanh Hoa,5/29/2025 14:45,960000,TRUE,5/29/2025 12:45
FL1846,Quy Nhon,Phu Quoc,5/29/2025 12:30,1020000,TRUE,5/29/2025 7:30
FL1986,Quy Nhon,Hue,5/29/2025 16:45,1370000,TRUE,5/29/2025 14:45
FL5059,Nha Trang,Buon Ma Thuot,5/29/2025 7:00,1480000,TRUE,5/29/2025 3:00
FL2328,Pleiku,Da Nang,5/29/2025 16:00,1660000,TRUE,5/29/2025 10:00
FL3408,Vinh,Can Tho,5/29/2025 13:30,1700000,FALSE,
FL8222,Phu Quoc,Buon Ma Thuot,5/29/2025 20:15,700000,TRUE,5/29/2025 16:15
FL1168,Quy Nhon,Pleiku,5/29/2025 16:45,1610000,FALSE,
FL7599,Quy Nhon,Da Nang,5/29/2025 8:15,730000,TRUE,5/29/2025 3:15
FL4918,Da Nang,Hanoi,5/29/2025 14:15,1210000,FALSE,
FL8645,Can Tho,Buon Ma Thuot,5/30/2025 10:30,1000000,TRUE,5/30/2025 6:30
FL2213,Phu Quoc,Thanh Hoa,5/30/2025 9:00,720000,FALSE,
FL3865,Ho Chi Minh City,Buon Ma Thuot,5/30/2025 11:30,520000,TRUE,5/30/2025 7:30
FL7776,Hue,Thanh Hoa,5/30/2025 12:00,1480000,FALSE,
FL8384,Hai Phong,Thanh Hoa,5/30/2025 12:15,640000,FALSE,
FL1339,Vinh,Can Tho,5/30/2025 12:30,1850000,TRUE,5/30/2025 7:30
FL2919,Da Nang,Pleiku,5/30/2025 6:30,740000,TRUE,5/30/2025 2:30
FL7210,Nha Trang,Buon Ma Thuot,5/30/2025 14:45,890000,FALSE,
FL4135,Hue,Quy Nhon,5/30/2025 7:15,1920000,TRUE,5/30/2025 1:15
FL3481,Vinh,Da Nang,5/30/2025 16:45,1110000,TRUE,5/30/2025 13:45
FL3248,Buon Ma Thuot,Quy Nhon,5/30/2025 13:00,1340000,FALSE,
FL3211,Vinh,Quy Nhon,5/30/2025 19:30,1940000,FALSE,
FL5447,Nha Trang,Thanh Hoa,5/31/2025 20:30,950000,FALSE,
FL1190,Can Tho,Buon Ma Thuot,5/31/2025 18:30,1770000,TRUE,5/31/2025 12:30
FL9933,Pleiku,Quy Nhon,5/31/2025 6:15,1150000,FALSE,
FL9231,Thanh Hoa,Hue,5/31/2025 13:00,620000,FALSE,
FL3919,Hanoi,Phu Quoc,5/31/2025 13:15,500000,TRUE,5/31/2025 11:15
FL1354,Nha Trang,Buon Ma Thuot,5/31/2025 17:45,900000,FALSE,
FL5147,Da Nang,Hanoi,5/31/2025 20:30,610000,TRUE,5/31/2025 17:30
FL2943,Da Nang,Ho Chi Minh City,5/31/2025 8:30,660000,TRUE,5/31/2025 2:30
FL4955,Thanh Hoa,Hanoi,5/31/2025 9:00,1280000,TRUE,5/31/2025 6:00
FL8352,Buon Ma Thuot,Hanoi,5/31/2025 7:00,1730000,FALSE,
FL2504,Hanoi,Hai Phong,5/31/2025 10:00,1240000,TRUE,5/31/2025 7:00
FL8382,Phu Quoc,Thanh Hoa,6/1/2025 15:15,1960000,TRUE,6/1/2025 12:15
FL2095,Nha Trang,Thanh Hoa,6/1/2025 13:30,810000,FALSE,
FL5333,Hanoi,Da Nang,6/1/2025 17:00,1590000,TRUE,6/1/2025 13:00
FL7685,Ho Chi Minh City,Buon Ma Thuot,6/1/2025 16:15,1980000,FALSE,
FL1180,Can Tho,Thanh Hoa,6/1/2025 14:30,1430000,TRUE,6/1/2025 9:30
FL5341,Ho Chi Minh City,Hai Phong,6/1/2025 11:30,1950000,TRUE,6/1/2025 5:30
FL7300,Hai Phong,Hanoi,6/1/2025 18:15,530000,FALSE,
FL8263,Quy Nhon,Buon Ma Thuot,6/1/2025 20:45,1050000,FALSE,
FL4347,Quy Nhon,Hue,6/1/2025 16:15,1100000,TRUE,6/1/2025 10:15
FL7136,Hai Phong,Hue,6/1/2025 10:00,900000,TRUE,6/1/2025 7:00
FL8400,Can Tho,Quy Nhon,6/2/2025 17:00,940000,FALSE,
FL1839,Hai Phong,Ho Chi Minh City,6/2/2025 10:15,780000,TRUE,6/2/2025 5:15
FL8387,Quy Nhon,Thanh Hoa,6/2/2025 9:00,1010000,TRUE,6/2/2025 3:00
FL5011,Quy Nhon,Vinh,6/2/2025 16:00,720000,FALSE,
FL3961,Hue,Nha Trang,6/2/2025 15:45,1990000,TRUE,6/2/2025 13:45
FL3219,Buon Ma Thuot,Phu Quoc,6/2/2025 7:30,1140000,FALSE,
FL8637,Da Nang,Pleiku,6/2/2025 12:30,1770000,FALSE,
FL2274,Quy Nhon,Pleiku,6/2/2025 16:30,1000000,TRUE,6/2/2025 13:30
FL3463,Pleiku,Nha Trang,6/2/2025 17:30,500000,FALSE,
FL9712,Hanoi,Pleiku,6/3/2025 10:00,1890000,FALSE,
FL3854,Quy Nhon,Thanh Hoa,6/3/2025 18:30,1820000,FALSE,
FL5576,Buon Ma Thuot,Hue,6/3/2025 9:00,1630000,TRUE,6/3/2025 4:00
FL7930,Hai Phong,Da Nang,6/3/2025 20:30,1880000,TRUE,6/3/2025 18:30
FL1546,Da Nang,Quy Nhon,6/3/2025 13:15,1990000,FALSE,
FL8260,Can Tho,Hai Phong,6/3/2025 6:15,1320000,TRUE,6/3/2025 2:15
FL4723,Can Tho,Thanh Hoa,6/4/2025 15:00,1170000,FALSE,
FL2596,Hue,Da Nang,6/4/2025 19:15,1530000,FALSE,
FL4796,Pleiku,Hai Phong,6/4/2025 16:30,660000,TRUE,6/4/2025 12:30
FL9026,Hanoi,Hai Phong,6/4/2025 10:45,540000,FALSE,
FL1718,Thanh Hoa,Buon Ma Thuot,6/4/2025 8:00,1410000,FALSE,
FL3868,Quy Nhon,Nha Trang,6/4/2025 9:15,1320000,FALSE,
FL7555,Da Nang,Hanoi,6/4/2025 14:45,980000,TRUE,6/4/2025 11:45
FL2719,Phu Quoc,Hanoi,6/4/2025 20:45,630000,FALSE,
FL9939,Phu Quoc,Pleiku,6/4/2025 7:15,1900000,FALSE,
FL4145,Thanh Hoa,Ho Chi Minh City,6/4/2025 10:00,910000,TRUE,6/4/2025 8:00
FL2674,Can Tho,Da Nang,6/4/2025 6:30,1930000,FALSE,
FL6217,Da Nang,Hue,6/5/2025 16:15,1020000,TRUE,6/5/2025 13:15
FL2589,Quy Nhon,Phu Quoc,6/5/2025 16:45,930000,FALSE,
FL5872,Phu Quoc,Quy Nhon,6/5/2025 9:15,790000,TRUE,6/5/2025 6:15
FL7280,Vinh,Pleiku,6/5/2025 13:00,1320000,TRUE,6/5/2025 7:00
FL2619,Da Nang,Thanh Hoa,6/5/2025 8:00,1170000,FALSE,
FL6400,Quy Nhon,Hanoi,6/5/2025 10:30,720000,TRUE,6/5/2025 8:30
FL6375,Nha Trang,Hanoi,6/5/2025 11:15,1710000,TRUE,6/5/2025 9:15
FL2841,Ho Chi Minh City,Da Nang,6/5/2025 11:30,1090000,TRUE,6/5/2025 9:30
FL7779,Hanoi,Phu Quoc,6/5/2025 10:45,1500000,FALSE,
FL1808,Thanh Hoa,Hue,6/5/2025 16:45,920000,FALSE,
FL7232,Hanoi,Da Nang,6/5/2025 16:45,1200000,TRUE,6/5/2025 11:45
FL1191,Phu Quoc,Can Tho,6/6/2025 13:00,1260000,FALSE,
FL6005,Hanoi,Buon Ma Thuot,6/6/2025 10:00,1480000,FALSE,
FL4404,Buon Ma Thuot,Da Nang,6/6/2025 6:30,1290000,FALSE,
FL3718,Ho Chi Minh City,Phu Quoc,6/6/2025 20:45,510000,TRUE,6/6/2025 16:45
FL2046,Da Nang,Hue,6/6/2025 9:45,1780000,FALSE,
FL7075,Hai Phong,Thanh Hoa,6/6/2025 13:15,1170000,TRUE,6/6/2025 8:15
FL1205,Buon Ma Thuot,Quy Nhon,6/6/2025 20:45,1640000,FALSE,
FL2700,Buon Ma Thuot,Hanoi,6/6/2025 18:00,550000,FALSE,
FL2122,Buon Ma Thuot,Hue,6/6/2025 10:15,1620000,TRUE,6/6/2025 8:15
FL7848,Hai Phong,Da Nang,6/6/2025 12:15,1270000,TRUE,6/6/2025 8:15
FL5786,Hanoi,Phu Quoc,6/6/2025 13:30,1470000,TRUE,6/6/2025 11:30
FL6381,Buon Ma Thuot,Hue,6/6/2025 6:00,900000,FALSE,
FL7777,Hai Phong,Buon Ma Thuot,6/7/2025 18:00,1520000,FALSE,
FL3199,Hai Phong,Pleiku,6/7/2025 16:30,610000,TRUE,6/7/2025 14:30
FL9851,Buon Ma Thuot,Hai Phong,6/7/2025 9:45,660000,FALSE,
FL4698,Hanoi,Pleiku,6/7/2025 7:15,1760000,FALSE,
FL4959,Pleiku,Nha Trang,6/7/2025 18:15,1490000,TRUE,6/7/2025 14:15
FL8801,Hai Phong,Hue,6/7/2025 20:15,810000,FALSE,
FL7286,Phu Quoc,Da Nang,6/7/2025 11:00,1330000,TRUE,6/7/2025 5:00
FL1820,Hai Phong,Pleiku,6/7/2025 20:00,1520000,FALSE,
FL2171,Quy Nhon,Pleiku,6/7/2025 6:45,950000,FALSE,
FL8389,Buon Ma Thuot,Ho Chi Minh City,6/7/2025 11:15,940000,FALSE,
FL7584,Nha Trang,Buon Ma Thuot,6/7/2025 11:30,1240000,TRUE,6/7/2025 8:30
FL5519,Nha Trang,Thanh Hoa,6/8/2025 19:30,1460000,TRUE,6/8/2025 13:30
FL6465,Hai Phong,Pleiku,6/8/2025 11:00,1460000,FALSE,
FL1041,Buon Ma Thuot,Ho Chi Minh City,6/8/2025 9:15,990000,FALSE,
FL7390,Pleiku,Ho Chi Minh City,6/8/2025 11:30,1420000,FALSE,
FL1056,Hue,Phu Quoc,6/8/2025 11:00,1150000,FALSE,
FL8530,Nha Trang,Pleiku,6/8/2025 17:45,1840000,FALSE,
FL2500,Hue,Nha Trang,6/8/2025 6:30,870000,TRUE,6/8/2025 3:30
FL5820,Pleiku,Hanoi,6/8/2025 14:00,1670000,TRUE,6/8/2025 11:00
FL1127,Nha Trang,Da Nang,6/9/2025 17:45,1050000,TRUE,6/9/2025 11:45
FL8012,Vinh,Thanh Hoa,6/9/2025 7:00,790000,TRUE,6/9/2025 1:00
FL7996,Ho Chi Minh City,Quy Nhon,6/9/2025 13:15,1980000,FALSE,
FL1825,Phu Quoc,Hai Phong,6/9/2025 10:00,810000,TRUE,6/9/2025 6:00
FL5880,Buon Ma Thuot,Phu Quoc,6/9/2025 10:30,1290000,FALSE,
FL1469,Quy Nhon,Nha Trang,6/9/2025 18:00,1420000,TRUE,6/9/2025 15:00
FL2310,Da Nang,Vinh,6/9/2025 20:00,710000,TRUE,6/9/2025 17:00
FL9131,Da Nang,Hue,6/10/2025 18:00,1690000,TRUE,6/10/2025 12:00
FL9109,Thanh Hoa,Ho Chi Minh City,6/10/2025 15:45,780000,TRUE,6/10/2025 12:45
FL7548,Da Nang,Hai Phong,6/10/2025 11:00,1910000,TRUE,6/10/2025 8:00
FL6742,Thanh Hoa,Hanoi,6/10/2025 7:45,1040000,TRUE,6/10/2025 2:45
FL4474,Buon Ma Thuot,Da Nang,6/10/2025 8:00,1750000,FALSE,
FL9691,Can Tho,Hai Phong,6/10/2025 19:30,1220000,FALSE,
FL3977,Buon Ma Thuot,Nha Trang,6/10/2025 19:00,1290000,TRUE,6/10/2025 17:00
